Name,ID,Email,Status,Currency,Discount,Subtotal,Shipping,Taxes,Taxes Included,Total,Shipping Method,Custom Shipping,Total Weight,Created At,Item Quantity,Item Name,Item Price,Item Total Discount,Item Total Price,Item Sku,Item Requires Shipping,Item Taxable,Item Vendor,Item Properties,Billing Name,Billing Street,Billing Address1,Billing Address2,Billing Company,Billing City,Billing Zip,Billing Province,Billing Country,Billing Phone,Shipping Name,Shipping Street,Shipping Address1,Shipping Address2,Shipping Company,Shipping City,Shipping Zip,Shipping Province,Shipping Country,Shipping Phone,Invoice Sent At,Completed At,Order ID,Notes,Note Attributes,Tags,Tax 1 Name,Tax 1 Value,Tax 2 Name,Tax 2 Value,Tax 3 Name,Tax 3 Value,Tax 4 Name,Tax 4 Value,Tax 5 Name,Tax 5 Value,Billing Province Name,Shipping Province Name,Payment Terms Name,Next Payment Due At,PO Number
#D1,1062597328956,Russel.winfield@example.com,open,INR,0.00,200.00,30.00,0.00,false,230.00,International Shipping,false,0,2026-02-03 23:22:49 -0500,1,Custom Snowboard,200.00,0.00,200.00,,true,true,,wrap description: Put my cat on it so I can shred these slopes like he shreds my couch!,Russell Winfield,105 Victoria St,105 Victoria St,,Company Name,Toronto,M5C1N7,,CA,+14165550135,"",105 Victoria St,105 Victoria St,,,Toronto,M5C1N7,,CA,+14165550135,,,,,,Custom Item,,,,,,,,,,,,,,,
#D5,1062597460028,karine.ruby@example.com,open,INR,0.00,664.95,30.00,0.00,false,694.95,International Shipping,false,4535,2026-02-03 23:22:49 -0500,1,The Complete Snowboard - Sunset,664.95,0.00,664.95,"",true,true,Snowboard Vendor,,Karine Ruby,Box 42 - 151 O'Connor St,Box 42 - 151 O'Connor St,,,Ottawa,K2P2L8,,CA,+16135550142,"",Box 42 - 151 O'Connor St,Box 42 - 151 O'Connor St,,,Ottawa,K2P2L8,,CA,+16135550142,,,,,,Custom Shipping Rate,,,,,,,,,,,,,,,
#D6,1062597492796,Russel.winfield@example.com,open,INR,132.99,1196.91,30.00,0.00,false,1226.91,International Shipping,false,9071,2026-02-03 23:22:49 -0500,2,The Complete Snowboard - Dawn,664.95,0.00,1329.90,"",true,true,Snowboard Vendor,,Russell Winfield,105 Victoria St,105 Victoria St,,Company Name,Toronto,M5C1N7,,CA,+14165550135,"",105 Victoria St,105 Victoria St,,,Toronto,M5C1N7,,CA,+14165550135,,,,,,Order Discount,,,,,,,,,,,,,,,
#D7,1062597525564,karine.ruby@example.com,open,INR,664.95,1994.85,30.00,0.00,false,2024.85,International Shipping,false,18143,2026-02-03 23:22:49 -0500,4,The Complete Snowboard - Ice,664.95,664.95,1994.85,"",true,true,Snowboard Vendor,,Karine Ruby,Box 42 - 151 O'Connor St,Box 42 - 151 O'Connor St,,,Ottawa,K2P2L8,,CA,+16135550142,"",Box 42 - 151 O'Connor St,Box 42 - 151 O'Connor St,,,Ottawa,K2P2L8,,CA,+16135550142,,,,,,Line Item Discount,,,,,,,,,,,,,,,
#D8,1062597558332,Russel.winfield@example.com,open,INR,307.72,1687.13,30.00,0.00,false,1717.13,International Shipping,false,13607,2026-02-03 23:22:49 -0500,1,The Complete Snowboard - Powder,664.95,10.00,654.95,"",true,true,Snowboard Vendor,,Russell Winfield,105 Victoria St,105 Victoria St,,Company Name,Toronto,M5C1N7,,CA,+14165550135,"",105 Victoria St,105 Victoria St,,,Toronto,M5C1N7,,CA,+14165550135,,,,,,"Line Item Discount, Order Discount",,,,,,,,,,,,,,,
#D8,,Russel.winfield@example.com,,,,,,,,,,,,2026-02-03 23:22:49 -0500,2,The Complete Snowboard - Electric,664.95,0.00,1329.90,"",true,true,Snowboard Vendor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#D9,1062597591100,karine.ruby@example.com,open,INR,0.00,693.45,30.00,0.00,false,723.45,International Shipping,false,0,2026-02-03 23:22:50 -0500,1,The Multi-location Snowboard,693.45,0.00,693.45,"",true,true,Zara,,Karine Ruby,Box 42 - 151 O'Connor St,Box 42 - 151 O'Connor St,,,Ottawa,K2P2L8,,CA,+16135550142,"",Box 42 - 151 O'Connor St,Box 42 - 151 O'Connor St,,,Ottawa,K2P2L8,,CA,+16135550142,,,,,,Shipping Discount,,,,,,,,,,,,,,,
#D10,1062597623868,Russel.winfield@example.com,open,INR,0.00,3163.40,,0.00,false,3163.40,,,4535,2026-02-03 23:22:50 -0500,1,The Complete Snowboard - Sunset,664.95,0.00,664.95,"",true,true,Snowboard Vendor,,Russell Winfield,105 Victoria St,105 Victoria St,,Company Name,Toronto,M5C1N7,,CA,+14165550135,"",105 Victoria St,105 Victoria St,,,Toronto,M5C1N7,,CA,+14165550135,,,,,,Multiple Fulfillments,,,,,,,,,,,,,,,
#D10,,Russel.winfield@example.com,,,,,,,,,,,,2026-02-03 23:22:50 -0500,1,The 3p Fulfilled Snowboard,2498.45,0.00,2498.45,sku-hosted-1,true,true,Zara,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#D2,1062597361724,,open,INR,0.00,885.95,,79.74,false,965.69,,,0,2026-02-03 23:22:49 -0500,1,The Minimal Snowboard,885.95,0.00,885.95,"",true,true,Zara,,,,,,,,,,,,,,,,,,,,,,,,,,,Edited,CGST 9%,79.74,,,,,,,,,,,,,
#D3,1062597394492,,open,INR,0.00,885.95,,79.74,false,965.69,,,0,2026-02-03 23:22:49 -0500,1,The Minimal Snowboard,885.95,0.00,885.95,"",true,true,Zara,,,,,,,,,,,,,,,,,,,,,,,,,,,Minimal Info,CGST 9%,79.74,,,,,,,,,,,,,
#D4,1062597427260,,open,INR,0.00,2799.80,,251.98,false,3051.78,,,18143,2026-02-03 23:22:49 -0500,4,The Complete Snowboard - Ice,699.95,0.00,2799.80,"",true,true,Snowboard Vendor,,,,,,,,,,,,,,,,,,,,,,,,,,,International Market,CGST 9%,251.98,,,,,,,,,,,,,
